Sr_no,Medical_store_name,Daily_customer_count,High_demand_categroies,Peak_seasons,Increased_disease_demand,Specify_disease,Supply_status,Stock_type,Factors_for_recommendation,customer_price_comparison,preferred_payment_methods,bulk_small_purchases,common_customer_problems,Daily_customer_count_num,Sales
1,Zeno Health,More than 100,Prescription medicines,Monsoon,Yes,DIABETICS,Mostly regular and on time,Both Branded and Generic,"Price, Brand name",Always,UPI / Mobile payment,Both,Different brand,120,5440.0
2,Wellness medical mahada mumbai,50-100,"Prescription medicines, Over-the-counter (OTC) medicines, Vitamins and supplements",Demand remains about the same throughout the year,Yes,Bp and diabetes,Mostly regular and on time,Both Branded and Generic,"Brand name, Doctor’s prescription, Availability/stock",Always,"Cash, UPI / Mobile payment",Bulk purchases,Discount,75,3400.0
3,Mehul chemist,20-50,"Prescription medicines,",Monsoon,No,Unknown,Often delayed,Only Generic,"Doctor’s prescription,",Always,Mixed (cash + digital),Small quantities,Not knowing proper medicine names,35,1586.6666666666667
4,Mahalaxmi medical,50-100,"Prescription medicines, Vitamins and supplements",Monsoon,Yes,Covid,Mostly regular and on time,Both Branded and Generic,"Price, Availability/stock",Sometimes,"Cash, UPI / Mobile payment",Both,Availablity,75,3400.0
5,Pharmaco medical stores,More than 100,Over-the-counter (OTC) medicines,Winter,Yes,Unknown,Sometimes delayed,Only Branded,Availability/stock,Sometimes,UPI / Mobile payment,Small quantities,They are not aware of which is the perfect product for their problem,120,5440.0
6,Mahesh drug corner,0-20,Over-the-counter (OTC) medicines,Winter,Yes,Unknown,Mostly regular and on time,Both Branded and Generic,Brand name,Always,Cash,Small quantities,Nothing,10,453.33333333333337
7,XYZ Medics and Druggist,50-100,"Prescription medicines, Over-the-counter (OTC) medicines",Monsoon,Yes,"Viral Fever, Dengue and Malaria During Monsoons",Mostly regular and on time,Both Branded and Generic,"Doctor’s prescription, Ingredients and Drugs in the Medicine",Rarely,"Cash, UPI / Mobile payment",Both,Doctor's Handwriting,75,3400.0
8,Heidi de f,50-100,Prescription medicines,Demand remains about the same throughout the year,No,Unknown,Mostly regular and on time,Both Branded and Generic,"Price, Brand name, Availability/stock",Sometimes,"Cash, UPI / Mobile payment",Bulk purchases,Hehdhd,75,3400.0
9,Samrath Medical,More than 100,Prescription medicines,Monsoon,Yes,Typhoid,Mostly regular and on time,Only Branded,Price,Sometimes,"Cash, UPI / Mobile payment",Small quantities,Shortage of money,120,5440.0
10,JK medical,0-20,Prescription medicines,Monsoon,Yes,Unknown,Sometimes delayed,Only Branded,Price,Sometimes,Cash,Small quantities,Unavailability of Products,10,453.33333333333337
11,Maharashtra medical,More than 100,Vitamins and supplements,Monsoon,Yes,COVID-19,Sometimes delayed,Both Branded and Generic,Brand name,Always,Mixed (cash + digital),Small quantities,Confusion between Generic and branded medicines,120,5440.0
12,Maharashtra medical and general Store,50-100,Over-the-counter (OTC) medicines,Monsoon,Yes,Unknown,Sometimes delayed,Both Branded and Generic,Brand name,Sometimes,UPI / Mobile payment,Both,"Expensive medicines can't effort, they go for cheaper products",75,3400.0
13,Trivedi medical store,20-50,Over-the-counter (OTC) medicines,Monsoon,No,Unknown,Mostly regular and on time,Both Branded and Generic,Doctor’s prescription,Sometimes,Cash,Both,Not checking the expiry date,35,1586.6666666666667
14,Metro Medical,50-100,"Prescription medicines, Wellness products",Monsoon,Yes,Viral Fever During monsoon season,Mostly regular and on time,Both Branded and Generic,Doctor’s prescription,Always,Cash,Small quantities,Bargaining for discount,75,3400.0
15,Shri Ganesh Medical Store,20-50,"Prescription medicines, Over-the-counter (OTC) medicines",Monsoon,Yes,"Viral, Cold",Sometimes delayed,Both Branded and Generic,Doctor’s prescription,Sometimes,"Cash, UPI / Mobile payment",Small quantities,Dose regimen.,35,1586.6666666666667
16,Green dot,50-100,Wellness products,Monsoon,Yes,Cough and cold,Mostly regular and on time,Only Generic,Price,Rarely,Mixed (cash + digital),Both,Sometimes unavailability of the medicine dur to minimum stock rarelyck,75,3400.0
17,Shifa madical,More than 100,"Prescription medicines, Over-the-counter (OTC) medicines, Vitamins and supplements, Wellness products,",Demand remains about the same throughout the year,No,No,Often delayed,Both Branded and Generic,"Price, Brand name, Doctor’s prescription, Availability/stock",Always,"Cash, UPI / Mobile payment, Card payment, Mixed (cash + digital)",Both,No,120,5440.0
18,Meena medical store,0-20,Prescription medicines,Summer,Yes,Dengue,Mostly regular and on time,Both Branded and Generic,Doctor’s prescription,Sometimes,Cash,Small quantities,Price,10,453.33333333333337
19,Ambika medical store,20-50,Vitamins and supplements,Monsoon,Yes,Flu,Mostly regular and on time,Only Branded,Price,Always,Cash,Small quantities,Unavailability,35,1586.6666666666667
